ORD001;Customer1;0900000001;Address 1;2026-07-25T08:00;2026-07-26T10:00;2026-07-27T18:00;Ready;125.0;true;P001:2,P002:3,P003:4
ORD002;Customer2;0900000002;Address 2;2026-07-26T08:00;2026-07-27T10:00;2026-07-28T18:00;Ready;150.0;true;P002:2,P003:3,P004:4
ORD003;Customer3;0900000003;Address 3;2026-07-27T08:00;2026-07-28T10:00;2026-07-29T18:00;Ready;175.0;true;P003:2,P004:3,P005:4
ORD004;Customer4;0900000004;Address 4;2026-07-25T08:00;2026-07-26T10:00;2026-07-27T18:00;Ready;200.0;true;P004:2,P005:3,P001:4
ORD005;Customer5;0900000005;Address 5;2026-07-26T08:00;2026-07-27T10:00;2026-07-28T18:00;Ready;225.0;true;P005:2,P001:3,P002:4
ORD006;Customer6;0900000006;Address 6;2026-07-27T08:00;2026-07-28T10:00;2026-07-29T18:00;Ready;250.0;true;P001:2,P002:3,P003:4
ORD007;Customer7;0900000007;Address 7;2026-07-25T08:00;2026-07-26T10:00;2026-07-27T18:00;Ready;275.0;true;P002:2,P003:3,P004:4
ORD008;Customer8;0900000008;Address 8;2026-07-26T08:00;2026-07-27T10:00;2026-07-28T18:00;Ready;300.0;true;P003:2,P004:3,P005:4
ORD009;Customer9;0900000009;Address 9;2026-07-27T08:00;2026-07-28T10:00;2026-07-29T18:00;Ready;325.0;true;P004:2,P005:3,P001:4
ORD010;Customer10;0900000010;Address 10;2026-07-25T08:00;2026-07-26T10:00;2026-07-27T18:00;Ready;350.0;true;P005:2,P001:3,P002:4
ORD011;Customer11;0900000011;Address 11;2026-07-26T08:00;2026-07-27T10:00;2026-07-28T18:00;Ready;375.0;false;P001:2,P002:3,P003:4
ORD012;Customer12;0900000012;Address 12;2026-07-27T08:00;2026-07-28T10:00;2026-07-29T18:00;Ready;400.0;false;P002:2,P003:3,P004:4
